dataset,split,budget,rep,features,probe,score,k,alpha,nonmonotone
synthetic,0,100,0,pca,linear,0.3565907613162519,4,1.0,False
synthetic,0,100,0,pca,xgb,0.6440728309622809,4,1.0,False
synthetic,0,100,0,spectral-marginal,linear,0.35577195489735314,4,1.0,False
synthetic,0,100,0,spectral-marginal,xgb,0.6801747311049863,4,1.0,False
synthetic,0,100,0,spectral-gibbs,linear,0.3569529105794568,4,1.0,False
synthetic,0,100,0,spectral-gibbs,xgb,0.6284065919473487,4,1.0,False
synthetic,0,100,0,conditional,linear,0.36432092464357946,4,1.0,False
synthetic,0,100,0,conditional,xgb,0.6112640580903953,4,1.0,False
synthetic,0,100,0,raw+pca,xgb,0.5366726989996191,4,1.0,False
synthetic,0,100,0,raw+spectral-gibbs,xgb,0.5514488726293945,4,1.0,False
synthetic,0,100,0,raw+conditional,xgb,0.5618709687527499,4,1.0,False
synthetic,0,100,1,raw,linear,0.31937162903988026,4,1.0,False
synthetic,0,100,1,raw,xgb,0.5528284037543238,4,1.0,False
synthetic,0,100,1,pca,linear,0.37982949550761236,4,1.0,False
synthetic,0,100,1,pca,xgb,0.6159066090300866,4,1.0,False
synthetic,0,100,1,spectral-marginal,linear,0.3802067268612128,4,1.0,False
synthetic,0,100,1,spectral-marginal,xgb,0.6442777499551857,4,1.0,False
synthetic,0,100,1,spectral-gibbs,linear,0.3802718734522409,4,1.0,False
synthetic,0,100,1,spectral-gibbs,xgb,0.625026751230551,4,1.0,False
synthetic,0,100,1,conditional,linear,0.3849629992966118,4,1.0,False
synthetic,0,100,1,conditional,xgb,0.5991153946366317,4,1.0,False
synthetic,0,100,1,raw+pca,xgb,0.5565378904319812,4,1.0,False
synthetic,0,100,1,raw+spectral-gibbs,xgb,0.5602138882313292,4,1.0,False
synthetic,0,100,1,raw+conditional,xgb,0.5837694678435089,4,1.0,False
synthetic,0,100,2,raw,linear,0.3652333996868836,4,1.0,False
synthetic,0,100,2,raw,xgb,0.5659144734037888,4,1.0,False
synthetic,0,100,2,pca,linear,0.39404623363600466,4,1.0,False
synthetic,0,100,2,pca,xgb,0.6091501112494797,4,1.0,False
synthetic,0,100,2,spectral-marginal,linear,0.3935922540498642,4,1.0,False
synthetic,0,100,2,spectral-marginal,xgb,0.6865837836727747,4,1.0,False
synthetic,0,100,2,spectral-gibbs,linear,0.3947123980438334,4,1.0,False
synthetic,0,100,2,spectral-gibbs,xgb,0.5751277534903843,4,1.0,False
synthetic,0,100,2,conditional,linear,0.40091665429888756,4,1.0,False
synthetic,0,100,2,conditional,xgb,0.5570929565743425,4,1.0,False
synthetic,0,100,2,raw+pca,xgb,0.5921967990242145,4,1.0,False
synthetic,0,100,2,raw+spectral-gibbs,xgb,0.5941720400827128,4,1.0,False
synthetic,0,100,2,raw+conditional,xgb,0.5729243963773832,4,1.0,False
synthetic,0,100,3,raw,linear,0.27780215128765084,4,1.0,False
synthetic,0,100,3,raw,xgb,0.5207862546226296,4,1.0,False
synthetic,0,100,3,pca,linear,0.3335056360703077,4,1.0,False
synthetic,0,100,3,pca,xgb,0.5493525565554405,4,1.0,False
synthetic,0,100,3,spectral-marginal,linear,0.3332169063372822,4,1.0,False
synthetic,0,100,3,spectral-marginal,xgb,0.5737368119733659,4,1.0,False
synthetic,0,100,3,spectral-gibbs,linear,0.33482132839945544,4,1.0,False
synthetic,0,100,3,spectral-gibbs,xgb,0.5457491796509673,4,1.0,False
synthetic,0,100,3,conditional,linear,0.341943096991588,4,1.0,False
synthetic,0,100,3,conditional,xgb,0.5493600025210836,4,1.0,False
synthetic,0,100,3,raw+pca,xgb,0.5493591776389037,4,1.0,False
synthetic,0,100,3,raw+spectral-gibbs,xgb,0.5537566447829882,4,1.0,False
synthetic,0,100,3,raw+conditional,xgb,0.5336656840818281,4,1.0,False
synthetic,0,100,4,raw,linear,0.3571106459185631,4,1.0,False
synthetic,0,100,4,raw,xgb,0.5689702996425786,4,1.0,False
synthetic,0,100,4,pca,linear,0.39084531005915246,4,1.0,False
synthetic,0,100,4,pca,xgb,0.6502251987188479,4,1.0,False
synthetic,0,100,4,spectral-marginal,linear,0.39002365338304423,4,1.0,False
synthetic,0,100,4,spectral-marginal,xgb,0.7137203798861421,4,1.0,False
synthetic,0,100,4,spectral-gibbs,linear,0.3911601295966046,4,1.0,False
synthetic,0,100,4,spectral-gibbs,xgb,0.6678598607373603,4,1.0,False
synthetic,0,100,4,conditional,linear,0.38025463423245887,4,1.0,False
synthetic,0,100,4,conditional,xgb,0.5608453845732422,4,1.0,False
synthetic,0,100,4,raw+pca,xgb,0.6128751301835097,4,1.0,False
synthetic,0,100,4,raw+spectral-gibbs,xgb,0.6175065823531061,4,1.0,False
synthetic,0,100,4,raw+conditional,xgb,0.5930406877163673,4,1.0,False
synthetic,0,250,0,raw,linear,0.3711387990346965,4,1.0,False
synthetic,0,250,0,raw,xgb,0.643598315855675,4,1.0,False
synthetic,0,250,0,pca,linear,0.4048950223126161,4,1.0,False
synthetic,0,250,0,pca,xgb,0.7215275039622518,4,1.0,False
synthetic,0,250,0,spectral-marginal,linear,0.4050125226792439,4,1.0,False
synthetic,0,250,0,spectral-marginal,xgb,0.7338852945544998,4,1.0,False
synthetic,0,250,0,spectral-gibbs,linear,0.4049766784730038,4,1.0,False
synthetic,0,250,0,spectral-gibbs,xgb,0.7298630697104447,4,1.0,False
synthetic,0,250,0,conditional,linear,0.41069413029070145,4,1.0,False
synthetic,0,250,0,conditional,xgb,0.7080234033794057,4,1.0,False
synthetic,0,250,0,raw+pca,xgb,0.6899491381242804,4,1.0,False
synthetic,0,250,0,raw+spectral-gibbs,xgb,0.6994688991000004,4,1.0,False
synthetic,0,250,0,raw+conditional,xgb,0.6903598218718195,4,1.0,False
synthetic,0,250,1,raw,linear,0.37413310834311064,4,1.0,False
synthetic,0,250,1,raw,xgb,0.6296377264003385,4,1.0,False
synthetic,0,250,1,pca,linear,0.39957983202723624,4,1.0,False
synthetic,0,250,1,pca,xgb,0.7246944616411055,4,1.0,False
synthetic,0,250,1,spectral-marginal,linear,0.3997100461758357,4,1.0,False
synthetic,0,250,1,spectral-marginal,xgb,0.744267096128237,4,1.0,False
synthetic,0,250,1,spectral-gibbs,linear,0.40017325422808436,4,1.0,False
synthetic,0,250,1,spectral-gibbs,xgb,0.7294926238276886,4,1.0,False
synthetic,0,250,1,conditional,linear,0.40613304936763717,4,1.0,False
synthetic,0,250,1,conditional,xgb,0.682522478776763,4,1.0,False
synthetic,0,250,1,raw+pca,xgb,0.6647354281938058,4,1.0,False
synthetic,0,250,1,raw+spectral-gibbs,xgb,0.6721046268315873,4,1.0,False
synthetic,0,250,1,raw+conditional,xgb,0.6727007718180713,4,1.0,False
synthetic,0,250,2,raw,linear,0.3599537348332551,4,1.0,False
synthetic,0,250,2,raw,xgb,0.6302937227985614,4,1.0,False
synthetic,0,250,2,pca,linear,0.3700686784750511,4,1.0,False
synthetic,0,250,2,pca,xgb,0.6573257508951247,4,1.0,False
synthetic,0,250,2,spectral-marginal,linear,0.3703093908665629,4,1.0,False
synthetic,0,250,2,spectral-marginal,xgb,0.6966659175712234,4,1.0,False
synthetic,0,250,2,spectral-gibbs,linear,0.370977517739569,4,1.0,False
synthetic,0,250,2,spectral-gibbs,xgb,0.6862704008823282,4,1.0,False
synthetic,0,250,2,conditional,linear,0.372006097252068,4,1.0,False
synthetic,0,250,2,conditional,xgb,0.664632879484326,4,1.0,False
synthetic,0,250,2,raw+pca,xgb,0.6678399004618574,4,1.0,False
synthetic,0,250,2,raw+spectral-gibbs,xgb,0.677786192566163,4,1.0,False
synthetic,0,250,2,raw+conditional,xgb,0.6662490931806503,4,1.0,False
synthetic,0,250,3,raw,linear,0.3624981508401497,4,1.0,False
synthetic,0,250,3,raw,xgb,0.6726109326101652,4,1.0,False
synthetic,0,250,3,pca,linear,0.3955240190613415,4,1.0,False
synthetic,0,250,3,pca,xgb,0.7164633001542524,4,1.0,False
synthetic,0,250,3,spectral-marginal,linear,0.3959116970318155,4,1.0,False
synthetic,0,250,3,spectral-marginal,xgb,0.7581666831008256,4,1.0,False
synthetic,0,250,3,spectral-gibbs,linear,0.39626664317257787,4,1.0,False
synthetic,0,250,3,spectral-gibbs,xgb,0.732401724764371,4,1.0,False
synthetic,0,250,3,conditional,linear,0.3917950932913078,4,1.0,False
synthetic,0,250,3,conditional,xgb,0.7052687003940797,4,1.0,False
synthetic,0,250,3,raw+pca,xgb,0.7084190679829045,4,1.0,False
synthetic,0,250,3,raw+spectral-gibbs,xgb,0.7266729052597702,4,1.0,False
synthetic,0,250,3,raw+conditional,xgb,0.6940172641796929,4,1.0,False
synthetic,0,250,4,raw,linear,0.3761425674735145,4,1.0,False
synthetic,0,250,4,raw,xgb,0.6407111697851375,4,1.0,False
synthetic,0,250,4,pca,linear,0.38947745191470484,4,1.0,False
synthetic,0,250,4,pca,xgb,0.7032275453907769,4,1.0,False
synthetic,0,250,4,spectral-marginal,linear,0.3877445275253718,4,1.0,False
synthetic,0,250,4,spectral-marginal,xgb,0.755847501090481,4,1.0,False
synthetic,0,250,4,spectral-gibbs,linear,0.38939960814298935,4,1.0,False
synthetic,0,250,4,spectral-gibbs,xgb,0.6997445733157629,4,1.0,False
synthetic,0,250,4,conditional,linear,0.40050089266069355,4,1.0,False
synthetic,0,250,4,conditional,xgb,0.7148708968462201,4,1.0,False
synthetic,0,250,4,raw+pca,xgb,0.6888801643364633,4,1.0,False
synthetic,0,250,4,raw+spectral-gibbs,xgb,0.6954938025103896,4,1.0,False
synthetic,0,250,4,raw+conditional,xgb,0.6962999626164361,4,1.0,False
synthetic,0,1000,0,raw,linear,0.40299403630230224,4,1.0,False
synthetic,0,1000,0,raw,xgb,0.7433216086039315,4,1.0,False
synthetic,0,1000,0,pca,linear,0.4084527873607252,4,1.0,False
synthetic,0,1000,0,pca,xgb,0.7917236260494227,4,1.0,False
synthetic,0,1000,0,spectral-marginal,linear,0.4088107211910814,4,1.0,False
synthetic,0,1000,0,spectral-marginal,xgb,0.8184677739561406,4,1.0,False
synthetic,0,1000,0,spectral-gibbs,linear,0.4089746050322999,4,1.0,False
synthetic,0,1000,0,spectral-gibbs,xgb,0.7981296851761616,4,1.0,False
synthetic,0,1000,0,conditional,linear,0.42281836049063404,4,1.0,False
synthetic,0,1000,0,conditional,xgb,0.7876713536016327,4,1.0,False
synthetic,0,1000,0,raw+pca,xgb,0.7805097402478427,4,1.0,False
synthetic,0,1000,0,raw+spectral-gibbs,xgb,0.7905161686641274,4,1.0,False
synthetic,0,1000,0,raw+conditional,xgb,0.7803087613423247,4,1.0,False
synthetic,0,1000,1,raw,linear,0.40025867631376644,4,1.0,False
synthetic,0,1000,1,raw,xgb,0.7602009077695415,4,1.0,False
synthetic,0,1000,1,pca,linear,0.4087700319820782,4,1.0,False
synthetic,0,1000,1,pca,xgb,0.8102797583035282,4,1.0,False
synthetic,0,1000,1,spectral-marginal,linear,0.4092532454675548,4,1.0,False
synthetic,0,1000,1,spectral-marginal,xgb,0.8258503064457772,4,1.0,False
synthetic,0,1000,1,spectral-gibbs,linear,0.4095080479990195,4,1.0,False
synthetic,0,1000,1,spectral-gibbs,xgb,0.8115474453657334,4,1.0,False
synthetic,0,1000,1,conditional,linear,0.4275792081928863,4,1.0,False
synthetic,0,1000,1,conditional,xgb,0.7923942634924988,4,1.0,False
synthetic,0,1000,1,raw+pca,xgb,0.7985516703500857,4,1.0,False
synthetic,0,1000,1,raw+spectral-gibbs,xgb,0.8130324356581746,4,1.0,False
synthetic,0,1000,1,raw+conditional,xgb,0.7976060920353834,4,1.0,False
synthetic,0,1000,2,raw,linear,0.4059022431154343,4,1.0,False
synthetic,0,1000,2,raw,xgb,0.7417731930327379,4,1.0,False
synthetic,0,1000,2,pca,linear,0.41138938768624445,4,1.0,False
synthetic,0,1000,2,pca,xgb,0.7999194345645579,4,1.0,False
synthetic,0,1000,2,spectral-marginal,linear,0.4117808330333025,4,1.0,False
synthetic,0,1000,2,spectral-marginal,xgb,0.818876952093819,4,1.0,False
synthetic,0,1000,2,spectral-gibbs,linear,0.4119901239519852,4,1.0,False
synthetic,0,1000,2,spectral-gibbs,xgb,0.8013897160939185,4,1.0,False
synthetic,0,1000,2,conditional,linear,0.42958810187961194,4,1.0,False
synthetic,0,1000,2,conditional,xgb,0.7960900191410574,4,1.0,False
synthetic,0,1000,2,raw+pca,xgb,0.7821239717731139,4,1.0,False
synthetic,0,1000,2,raw+spectral-gibbs,xgb,0.7899811943644324,4,1.0,False
synthetic,0,1000,2,raw+conditional,xgb,0.7904653296942857,4,1.0,False
synthetic,0,1000,3,raw,linear,0.39563863726666726,4,1.0,False
synthetic,0,1000,3,raw,xgb,0.7377298252977142,4,1.0,False
synthetic,0,1000,3,pca,linear,0.4049676650306089,4,1.0,False
synthetic,0,1000,3,pca,xgb,0.8005764334088785,4,1.0,False
synthetic,0,1000,3,spectral-marginal,linear,0.40547177388939204,4,1.0,False
synthetic,0,1000,3,spectral-marginal,xgb,0.8119445260241046,4,1.0,False
synthetic,0,1000,3,spectral-gibbs,linear,0.40560102730911163,4,1.0,False
synthetic,0,1000,3,spectral-gibbs,xgb,0.799705540431211,4,1.0,False
synthetic,0,1000,3,conditional,linear,0.416514925647424,4,1.0,False
synthetic,0,1000,3,conditional,xgb,0.7848052027687749,4,1.0,False
synthetic,0,1000,3,raw+pca,xgb,0.7825759152948171,4,1.0,False
synthetic,0,1000,3,raw+spectral-gibbs,xgb,0.7948696244496327,4,1.0,False
synthetic,0,1000,3,raw+conditional,xgb,0.7805014364966766,4,1.0,False
synthetic,0,1000,4,raw,linear,0.3987145511603001,4,1.0,False
synthetic,0,1000,4,raw,xgb,0.7371562005046883,4,1.0,False
synthetic,0,1000,4,pca,linear,0.41061801326504754,4,1.0,False
synthetic,0,1000,4,pca,xgb,0.8021594457946917,4,1.0,False
synthetic,0,1000,4,spectral-marginal,linear,0.41107785560733645,4,1.0,False
synthetic,0,1000,4,spectral-marginal,xgb,0.8175311354988746,4,1.0,False
synthetic,0,1000,4,spectral-gibbs,linear,0.4114032616416178,4,1.0,False
synthetic,0,1000,4,spectral-gibbs,xgb,0.7995818563541743,4,1.0,False
synthetic,0,1000,4,conditional,linear,0.42296622644744186,4,1.0,False
synthetic,0,1000,4,conditional,xgb,0.7929300252193489,4,1.0,False
synthetic,0,1000,4,raw+pca,xgb,0.7847301116237618,4,1.0,False
synthetic,0,1000,4,raw+spectral-gibbs,xgb,0.7901179492501524,4,1.0,False
synthetic,0,1000,4,raw+conditional,xgb,0.7806153075981895,4,1.0,False
synthetic,1,50,0,raw,linear,0.20242401685864364,4,1.0,False
synthetic,1,50,0,raw,xgb,0.2989116480288825,4,1.0,False
synthetic,1,50,0,pca,linear,0.2032760888867411,4,1.0,False
synthetic,1,50,0,pca,xgb,0.39284168170478717,4,1.0,False
synthetic,1,50,0,spectral-marginal,linear,0.2100605191757826,4,1.0,False
synthetic,1,50,0,spectral-marginal,xgb,0.430364533088773,4,1.0,False
synthetic,1,50,0,spectral-gibbs,linear,0.21263086255879604,4,1.0,False
synthetic,1,50,0,spectral-gibbs,xgb,0.45464914697206915,4,1.0,False
synthetic,1,50,0,conditional,linear,0.13549792909570757,4,1.0,False
synthetic,1,50,0,conditional,xgb,0.35016526182484375,4,1.0,False
synthetic,1,50,0,raw+pca,xgb,0.30655973412857296,4,1.0,False
synthetic,1,50,0,raw+spectral-gibbs,xgb,0.33071825892233664,4,1.0,False
synthetic,1,50,0,raw+conditional,xgb,0.34111928149482706,4,1.0,False
synthetic,1,50,1,raw,linear,0.1135143907574272,4,1.0,False
synthetic,1,50,1,raw,xgb,0.15581432767473635,4,1.0,False
synthetic,1,50,1,pca,linear,0.1402530798974032,4,1.0,False
synthetic,1,50,1,pca,xgb,0.2800604665997133,4,1.0,False
synthetic,1,50,1,spectral-marginal,linear,0.13257553749364548,4,1.0,False
synthetic,1,50,1,spectral-marginal,xgb,0.35168854674478134,4,1.0,False
synthetic,1,50,1,spectral-gibbs,linear,0.13480706167171885,4,1.0,False
synthetic,1,50,1,spectral-gibbs,xgb,0.231912059230299,4,1.0,False
synthetic,1,50,1,conditional,linear,0.0657782102653739,4,1.0,False
synthetic,1,50,1,conditional,xgb,0.3097161146519558,4,1.0,False
synthetic,1,50,1,raw+pca,xgb,0.15964616064396242,4,1.0,False
synthetic,1,50,1,raw+spectral-gibbs,xgb,0.2043594692316364,4,1.0,False
synthetic,1,50,1,raw+conditional,xgb,0.3229223091906388,4,1.0,False
synthetic,1,50,2,raw,linear,0.22114658658000408,4,1.0,False
synthetic,1,50,2,raw,xgb,0.3375547283280951,4,1.0,False
synthetic,1,50,2,pca,linear,0.2752088207835369,4,1.0,False
synthetic,1,50,2,pca,xgb,0.36147686789618194,4,1.0,False
synthetic,1,50,2,spectral-marginal,linear,0.27934474477161675,4,1.0,False
synthetic,1,50,2,spectral-marginal,xgb,0.5290221564326878,4,1.0,False
synthetic,1,50,2,spectral-gibbs,linear,0.27867600433546047,4,1.0,False
synthetic,1,50,2,spectral-gibbs,xgb,0.4628404413429894,4,1.0,False
synthetic,1,50,2,conditional,linear,0.14838586061873038,4,1.0,False
synthetic,1,50,2,conditional,xgb,0.4111775699156349,4,1.0,False
synthetic,1,50,2,raw+pca,xgb,0.38923508658628203,4,1.0,False
synthetic,1,50,2,raw+spectral-gibbs,xgb,0.3940772900680001,4,1.0,False
synthetic,1,50,2,raw+conditional,xgb,0.350107430592963,4,1.0,False
synthetic,1,50,3,raw,linear,0.3400649834368069,4,1.0,False
synthetic,1,50,3,raw,xgb,0.378382841413209,4,1.0,False
synthetic,1,50,3,pca,linear,0.35195540780878865,4,1.0,False
synthetic,1,50,3,pca,xgb,0.3934731670935032,4,1.0,False
synthetic,1,50,3,spectral-marginal,linear,0.3483117303595771,4,1.0,False
synthetic,1,50,3,spectral-marginal,xgb,0.48863956799701314,4,1.0,False
synthetic,1,50,3,spectral-gibbs,linear,0.35092275209475743,4,1.0,False
synthetic,1,50,3,spectral-gibbs,xgb,0.4842156935295888,4,1.0,False
synthetic,1,50,3,conditional,linear,0.3432219054400394,4,1.0,False
synthetic,1,50,3,conditional,xgb,0.40006867058652207,4,1.0,False
synthetic,1,50,3,raw+pca,xgb,0.3591262953508887,4,1.0,False
synthetic,1,50,3,raw+spectral-gibbs,xgb,0.402486345425244,4,1.0,False
synthetic,1,50,3,raw+conditional,xgb,0.400268026960084,4,1.0,False
synthetic,1,50,4,raw,linear,0.31803962786129025,4,1.0,False
synthetic,1,50,4,raw,xgb,0.3673614624963709,4,1.0,False
synthetic,1,50,4,pca,linear,0.34052213833289824,4,1.0,False
synthetic,1,50,4,pca,xgb,0.35739263181566583,4,1.0,False
synthetic,1,50,4,spectral-marginal,linear,0.34070773255264963,4,1.0,False
synthetic,1,50,4,spectral-marginal,xgb,0.48347790267844015,4,1.0,False
synthetic,1,50,4,spectral-gibbs,linear,0.3395012785290499,4,1.0,False
synthetic,1,50,4,spectral-gibbs,xgb,0.43723283056549134,4,1.0,False
synthetic,1,50,4,conditional,linear,0.3201081013163438,4,1.0,False
synthetic,1,50,4,conditional,xgb,0.4393918763858041,4,1.0,False
synthetic,1,50,4,raw+pca,xgb,0.39306489548817514,4,1.0,False
synthetic,1,50,4,raw+spectral-gibbs,xgb,0.38769270142694634,4,1.0,False
synthetic,1,50,4,raw+conditional,xgb,0.37736616356849106,4,1.0,False
synthetic,1,100,0,raw,linear,0.3295543482745159,4,1.0,False
synthetic,1,100,0,raw,xgb,0.5338939707484143,4,1.0,False
synthetic,1,100,0,pca,linear,0.36144211874160537,4,1.0,False
synthetic,1,100,0,pca,xgb,0.4802545195178405,4,1.0,False
synthetic,1,100,0,spectral-marginal,linear,0.36102070205752435,4,1.0,False
synthetic,1,100,0,spectral-marginal,xgb,0.529747765661994,4,1.0,False
synthetic,1,100,0,spectral-gibbs,linear,0.35971623482454196,4,1.0,False
synthetic,1,100,0,spectral-gibbs,xgb,0.5186909535387509,4,1.0,False
synthetic,1,100,0,conditional,linear,0.31866251064581985,4,1.0,False
synthetic,1,100,0,conditional,xgb,0.516761839841709,4,1.0,False
synthetic,1,100,0,raw+pca,xgb,0.5650747023508952,4,1.0,False
synthetic,1,100,0,raw+spectral-gibbs,xgb,0.5586616008878864,4,1.0,False
synthetic,1,100,0,raw+conditional,xgb,0.5230740824903549,4,1.0,False
synthetic,1,100,1,raw,linear,0.292492936976787,4,1.0,False
synthetic,1,100,1,raw,xgb,0.4706260864221007,4,1.0,False
synthetic,1,100,1,pca,linear,0.3166139532677128,4,1.0,False
synthetic,1,100,1,pca,xgb,0.49799890334199537,4,1.0,False
synthetic,1,100,1,spectral-marginal,linear,0.32183867623361506,4,1.0,False
synthetic,1,100,1,spectral-marginal,xgb,0.604034591314704,4,1.0,False
synthetic,1,100,1,spectral-gibbs,linear,0.320070394401322,4,1.0,False
synthetic,1,100,1,spectral-gibbs,xgb,0.5655526028537666,4,1.0,False
synthetic,1,100,1,conditional,linear,0.3382638853203769,4,1.0,False
synthetic,1,100,1,conditional,xgb,0.553002599083825,4,1.0,False
synthetic,1,100,1,raw+pca,xgb,0.4978487346013577,4,1.0,False
synthetic,1,100,1,raw+spectral-gibbs,xgb,0.5022456089241725,4,1.0,False
synthetic,1,100,1,raw+conditional,xgb,0.5129438913406554,4,1.0,False
synthetic,1,100,2,raw,linear,0.2976046618945647,4,1.0,False
synthetic,1,100,2,raw,xgb,0.48753930835301995,4,1.0,False
synthetic,1,100,2,pca,linear,0.3035382935729707,4,1.0,False
synthetic,1,100,2,pca,xgb,0.5381764700284046,4,1.0,False
synthetic,1,100,2,spectral-marginal,linear,0.30801220235588633,4,1.0,False
synthetic,1,100,2,spectral-marginal,xgb,0.5387919563545698,4,1.0,False
synthetic,1,100,2,spectral-gibbs,linear,0.3071109457561938,4,1.0,False
synthetic,1,100,2,spectral-gibbs,xgb,0.5388805520791402,4,1.0,False
synthetic,1,100,2,conditional,linear,0.24974876540500746,4,1.0,False
synthetic,1,100,2,conditional,xgb,0.5005149244461675,4,1.0,False
synthetic,1,100,2,raw+pca,xgb,0.5348169448656102,4,1.0,False
synthetic,1,100,2,raw+spectral-gibbs,xgb,0.5334364870649885,4,1.0,False
synthetic,1,100,2,raw+conditional,xgb,0.5030170502714155,4,1.0,False
synthetic,1,100,3,raw,linear,0.346364563773897,4,1.0,False
synthetic,1,100,3,raw,xgb,0.4646330512787017,4,1.0,False
synthetic,1,100,3,pca,linear,0.3498109461918647,4,1.0,False
synthetic,1,100,3,pca,xgb,0.6084844363075441,4,1.0,False
synthetic,1,100,3,spectral-marginal,linear,0.34932824089659753,4,1.0,False
